Devanagari	Devanagari2	Kannada	IPA
अ	अ	ಅ	a
आ	आ	ಆ	aː
आा	अ३	ಆಾ	aːː
इ	इ	ಇ	i
ई	ई	ಈ	iː
ईी	इ३	ಈೀ	iːː
उ	उ	ಉ	u
ऊ	ऊ	ಊ	uː
ऊू	उ३	ಊೂ	uːː
ऋ	ऋ	ಋ	ɻ
ॠ	ॠ	ೠ	ɻː
ॠॄ	ऋ३	ೠೄ	ɻːː
ळ	ळ	ಳ	ɭ
ळु	ळु	ಳು	ɭu
ळू	ळू	ಳೂ	ɭuː
ए	ए१	ಎ	e
एा	ए	ಏ	eː
एाा	ए३	ಏೋ	eːː
ऐ	ऐ	ಐ	ɛ
ऐो	ऐ२	ಐೖ	ɛː
ऐोो	ऐ३	ಐೖೖ	ɛːː
ओ	ओ१	ಒ	o
ओो	ओ	ಓ	oː
ओोो	ओ३	ಓೋ	oːː
औ	औ	ಔ	ɔ
औौ	औ२	ಔೌ	ɔː
औौौ	औ३	ಔೌೌ	ɔːː
क्	क्	ಕ್	k
ख्	ख्	ಖ್	kʰ
ग्	ग्	ಗ್	g
घ्	घ्	ಘ್	gʰ
ङ्	ङ्	ಙ್	ŋ
च्	च्	ಚ್	t͡ʃ
छ्	छ्	ಛ್	t͡ʃʰ
ज्	ज्	ಜ್	d͡ʒ
झ्	झ्	ಝ್	d͡ʒʰ
ञ्	ञ्	ಞ್	ɲ
ट्	ट्	ಟ್	ʈ
ठ्	ठ्	ಠ್	ʈʰ
ड्	ड्	ಡ್	ɖ
ढ्	ढ्	ಢ್	ɖʰ
ण्	ण्	ಣ್	ɳ
त्	त्	ತ್	t
थ्	थ्	ಥ್	tʰ
द्	द्	ದ್	d
ध्	ध्	ಧ್	dʰ
न्	न्	ನ್	n
प्	प्	ಪ್	p
फ्	फ्	ಫ್	pʰ
ब्	ब्	ಬ್	b
भ्	भ्	ಭ	bʰ
म्	म्	ಮ್	m
य्	य्	ಯ್	j
र्	र्	ರ್	r
ल्	ल्	ಲ್	l
व्	व्	ವ್	ʋ
श्	श्	ಶ್	ʃ
ष्	ष्	ಷ್	ʂ
स्	स्	ಸ್	s
ह्	ह्	ಹ್	ɦ
ं	ं	ಂ	ŋ
ः	ः	ಃ	ɦ
...	...	...	...
::	::	::	::
